Source	Target	Kin	Label	Type
10879	33843	N	Biographer of	Directed
10879	33843	N	Biographer of	Directed
10879	35003	N	Friend of	Directed
10879	56579	N	Wrote kuangji (Grave Inscription) for	Directed
10879	65899	N	Biographer of	Directed
10879	68364	N	Biographer of	Directed
10879	124005	N	Tongxue was	Directed
24569	270804	K	B+	Directed
24569	270806	K	B+	Directed
26218	26220	K	S1	Directed
26218	265376	K	W	Directed
26218	265377	K	B-	Directed
28807	28808	K	S	Directed
28825	28826	K	K-1(male)	Directed
28825	29577	N	Departure note sent to	Directed
28825	30374	N	Departure note sent to	Directed
28825	34166	N	Departure note sent to	Directed
28825	34534	N	Departure note sent to	Directed
28825	67905	N	Departure note sent to	Directed
28825	68049	N	Departure note sent to	Directed
28825	68070	N	Congratulatory note sent to	Directed
28825	68132	N	Presented literary composition as gift to	Directed
28825	68194	N	Presented literary composition as gift to	Directed
28825	68238	N	Departure note sent to	Directed
28825	68240	N	Departure note sent to	Directed
28825	68244	N	wrote preface for the literary works of	Directed
28825	68280	N	Departure note sent to	Directed
28825	68287	N	Departure note sent to	Directed
28825	68289	N	Departure note sent to	Directed
28825	68292	N	Departure note sent to	Directed
28825	68328	N	Departure note sent to	Directed
28825	68335	N	Departure note sent to	Directed
28825	68352	N	Departure note sent to	Directed
28825	68456	N	Departure note sent to	Directed
28825	68456	N	Departure note sent to	Directed
28825	68482	N	Wrote Shrine inscription for	Directed
28825	125411	N	Presented literary composition as gift to	Directed
28825	127325	N	Departure note sent to	Directed
28825	127325	N	praised the political accomplishments of	Directed
28825	127955	N	Departure note sent to	Directed
28825	127955	N	Presented literary composition as gift to	Directed
28825	128223	N	Departure note sent to	Directed
28825	128901	N	Departure note sent to	Directed
28825	129522	N	praised the political accomplishments of	Directed
28825	129727	N	Departure note sent to	Directed
28825	130937	N	Departure note sent to	Directed
28825	131001	N	Departure note sent to	Directed
28825	131191	N	Departure note sent to	Directed
28825	131402	N	Departure note sent to	Directed
28825	131495	N	Departure note sent to	Directed
28825	132156	N	Congratulatory note sent to	Directed
28825	132342	N	Departure note sent to	Directed
28825	132829	N	Departure note sent to	Directed
28825	132973	N	Congratulatory note sent to	Directed
28825	133063	N	Presented literary composition as gift to	Directed
28825	133434	N	Explanation of capping name (zixu or zishuo) composed for	Directed
28825	133434	N	Departure note sent to	Directed
28825	133464	N	Departure note sent to	Directed
28825	133705	N	Departure note sent to	Directed
28825	275477	K	W	Directed
28825	275478	K	B+	Directed
28825	275479	K	B-	Directed
28825	275480	K	B-	Directed
28825	275481	K	B-	Directed
28825	275482	K	B-	Directed
28825	275483	K	B-	Directed
28825	275484	K	B-	Directed
28825	275485	K	B-	Directed
28825	275486	K	B-	Directed
28826	28825	N	Student of	Directed
28826	28825	N	Biographer of	Directed
28826	130754	N	Biographer of	Directed
28826	130832	N	Biographer of	Directed
28826	131549	N	Wrote Biographical sketch (xingzhuang) for	Directed
28826	133285	N	Biographer of	Directed
28826	133485	N	praised the political accomplishments of	Directed
29574	118809	K	W2	Directed
29574	279968	K	W	Directed
29574	279969	K	W2	Directed
29574	279970	K	B+	Directed
29574	279971	K	B+	Directed
29574	279972	K	B+	Directed
29574	279973	K	B+	Directed
29574	279976	K	B+	Directed
29574	279977	K	B-	Directed
29574	279978	K	B-	Directed
29574	279979	K	B-	Directed
29574	279980	K	B-	Directed
29575	29576	K	F	Directed
29575	30284	N	Wrote inscription for writings of	Directed
29575	34263	N	Prefaced book by	Directed
29575	34682	N	Presented literary composition as gift to	Directed
29575	35127	N	Biographer of	Directed
29575	124893	N	Prefaced book by	Directed
29575	124893	N	Prefaced book by	Directed
29575	128488	N	Biographer of	Directed
29575	128820	N	Biographer of	Directed
29575	129770	N	Presented literary composition as gift to	Directed
29575	129902	N	Charitable estate stele written for	Directed
29575	131175	N	Prefaced book by	Directed
29578	29579	K	F	Directed
29578	30849	N	Prefaced book by	Directed
29578	30849	N	Postface written for book by	Directed
29578	30849	N	Biographer of	Directed
29578	30849	N	Biographer of	Directed
29578	30849	N	wrote colophon to the writings of	Directed
29578	30849	N	wrote colophon to the family biography of	Directed
29578	34734	N	Prefaced book by	Directed
29578	124967	N	Prefaced book by	Directed
29578	127541	N	Prefaced book by	Directed
29579	228584	K	F	Directed
29579	228585	K	M	Directed
29579	228589	K	B-	Directed
29579	228590	K	S	Directed
29579	228591	K	S	Directed
29579	228592	K	S	Directed
29584	56573	N	Prefaced book by	Directed
29589	29590	K	S	Directed
29589	29751	N	Wrote Biographical sketch (xingzhuang) for	Directed
29590	29589	N	Nianpu composed for	Directed
29590	329275	K	F	Directed
29590	329281	K	B+	Directed
29590	329282	K	B+	Directed
29590	329283	K	B+	Directed
29590	329284	K	B+	Directed
29590	329285	K	B+	Directed
29590	329286	K	B+	Directed
29590	329288	K	B-	Directed
29590	329289	K	B-	Directed
29590	329290	K	B-	Directed
29604	29606	K	S	Directed
29605	29604	K	F	Directed
29605	29606	K	B-	Directed
29605	68363	N	Biographer of	Directed
29605	126604	N	Biographer of	Directed
29605	127530	N	Biographer of	Directed
29605	127530	N	Presented literary composition as gift to	Directed
29605	127530	N	Composed Building inscription for	Directed
29605	127530	N	Composed Building inscription for	Directed
29605	128983	N	Presented literary composition as gift to	Directed
29605	129206	N	Biographer of	Directed
29605	129426	N	Presented literary composition as gift to	Directed
29605	131054	N	Presented literary composition as gift to	Directed
29721	67157	N	Wrote Funerary stele for	Directed
29721	130914	N	Wrote Funerary stele for	Directed
29721	326556	K	F	Directed
29721	326557	K	M	Directed
29721	326558	K	W	Directed
29721	326559	K	B-	Directed
29721	326560	K	B-	Directed
29721	326561	K	B-	Directed
29751	34673	N	Postscripted calligraphy or painting of	Directed
29751	68410	N	Departure note sent to	Directed
29751	68461	N	Lamentation prayer written for	Directed
29751	126814	N	Departure note sent to	Directed
29751	127880	N	Departure note sent to	Directed
29751	128289	N	Departure note sent to	Directed
29751	129183	N	Departure note sent to	Directed
29751	130203	N	Departure note sent to	Directed
29751	131191	N	Departure note sent to	Directed
29751	131629	N	Departure note sent to	Directed
29751	132383	N	Congratulatory note sent to	Directed
29751	132554	N	Departure note sent to	Directed
29751	133119	N	Wrote Biographical sketch (xingzhuang) for	Directed
29751	133130	K	B-	Directed
29751	133164	N	Prefaced book by	Directed
29751	133164	N	Departure note sent to	Directed
29751	133164	N	Composed Building inscription for	Directed
29751	203086	K	B+	Directed
29751	294355	K	F	Directed
29751	294356	K	M	Directed
29751	294357	K	W	Directed
29751	294358	K	B+	Directed
29751	294359	K	B+	Directed
29751	294360	K	B+	Directed
29751	294361	K	B+	Directed
29751	294362	K	B+	Directed
29751	294365	K	B-	Directed
